filename,artist,title,style,genre,date
102257.jpg,5b39c876740bfc1cfaf544721c43cac3,Uriel,Color Field Painting,abstract,1955.0
75232.jpg,5b39c876740bfc1cfaf544721c43cac3,Vir Heroicus Sublimis,Color Field Painting,abstract,1950.0
62252.jpg,5b39c876740bfc1cfaf544721c43cac3,"Who’s Afraid of Red,  Yellow and Blue II",Color Field Painting,abstract,
63861.jpg,5b39c876740bfc1cfaf544721c43cac3,Black Fire I ,Color Field Painting,abstract,1963.0
59145.jpg,5b39c876740bfc1cfaf544721c43cac3,Ulysses,Color Field Painting,abstract,1952.0
73319.jpg,5b39c876740bfc1cfaf544721c43cac3,1. First Station,Color Field Painting,abstract,1958.0
75586.jpg,5b39c876740bfc1cfaf544721c43cac3,The Station of the Cross,Color Field Painting,abstract,1958.0
49350.jpg,5b39c876740bfc1cfaf544721c43cac3,The Station of the Cross,Color Field Painting,abstract,1967.0
49147.jpg,5b39c876740bfc1cfaf544721c43cac3,Yellow Painting,Color Field Painting,abstract,1949.0
62037.jpg,5b39c876740bfc1cfaf544721c43cac3,Dionysius,Color Field Painting,abstract,1949.0
83723.jpg,c5d221866879b9c2c6781275eebf7b68,La Porta Viola,,abstract,1963
73304.jpg,24322e453b6957da6793a2c384b1f595,Sequenze quadrangolari,Op Art,abstract,1964.0
79047.jpg,62a37f405ba3b2160759e70ee2e917c3,"Contra-Composition of Dissonances, XVI",Neoplasticism,abstract,1925
42954.jpg,c4d35a700a68e98b290fcef86011c577,Untitled,Abstract Expressionism,abstract,
5645.jpg,1e595d48fcdc7832cb923efc35aa8da4,Exu ,Neo-Expressionism,abstract,1988.0
8868.jpg,61f411f5180b2410a7243be825493a31,Abstraction,Art Informel,abstract,1965.0
49703.jpg,6baae050950b67f2462ce2b0c6c8ab9e,Les 3 mondes,Lyrical Abstraction,abstract,1967.0
91399.jpg,24992a1ddca2a38675f62a88ff93f8a6,"We Mourn, We Weep, We Love Again",Pop Art,abstract,1995.0
14201.jpg,1e595d48fcdc7832cb923efc35aa8da4,Now's The Time,Neo-Expressionism,abstract,1985.0
96931.jpg,cc124244ed9d691f345f26ee51d4e888,Le vent du soleil,Color Field Painting,abstract,1996
37510.jpg,62a37f405ba3b2160759e70ee2e917c3,Composition XIII,Neoplasticism,abstract,1918
103241.jpg,1f7bf0455ebdfce199ef7a8444c7706b,Aquarelle,Art Informel,abstract,1965.0
20959.jpg,c5d221866879b9c2c6781275eebf7b68,Il Secchio Sospeso,,abstract,1961
4316.jpg,62a37f405ba3b2160759e70ee2e917c3,Simultaneous Counter Composition.,Neoplasticism,abstract,1930
4004.jpg,d8ac73f0218c738977444c6217a35211,Colored composition (Hommage to Johann Sebastian Bachh),Orphism,abstract,1912
100820.jpg,5b39c876740bfc1cfaf544721c43cac3,Eve ,Color Field Painting,abstract,
51851.jpg,0052cc81f35d53736ab860be16fc07f4,Composition ,Abstract Art,abstract,1927.0
11917.jpg,3c454875cf052ed738e0781eaa315fbb,Hélène,Concretism,abstract,1956
8813.jpg,1058d8ff56d3ea71ef7f5c02a769fc8f,Oga,Concretism,abstract,1960
37039.jpg,071365e38f1ab6565334bb8684ad8b93,Composizione grigio-rosa,Lyrical Abstraction,abstract,1957.0
72013.jpg,fe9ac11c0a84db1a5c60adb65af405e8,Concreção 8188,Op Art,abstract,1981.0
84846.jpg,d1ec00902766b952ec62d98953e135ec,Untitled,Color Field Painting,abstract,1970
49488.jpg,c6bcb5cdd84389d2e8ea6e9abba253c1,"Composition bleue, jaune et grise ",Tachisme,abstract,1958.0
39155.jpg,24322e453b6957da6793a2c384b1f595,Reticolo nero diversi blu rosso verso destra,Concretism,abstract,1948.0
51896.jpg,0f556e6587c43aeabe062db8b17a760a,Intersuperficie Curva Arancio,Spatialism,abstract,1969.0
25926.jpg,1058d8ff56d3ea71ef7f5c02a769fc8f,Flags for America's Cup,Concretism,abstract,1977
97906.jpg,24469767ca1b3b1707c5806ba71eaba8,Constructive-decorative composition,Abstract Art,abstract,1924
23016.jpg,138b57708cd0838e2409cb18b19311b6,L-11,Art Informel,abstract,1950.0
2618.jpg,f71e836ba899d9e87b32215b62e657ba,Triptyque orange,Abstract Expressionism,abstract,
55322.jpg,1058d8ff56d3ea71ef7f5c02a769fc8f,Iras,Concretism,abstract,1959
35202.jpg,c6bcb5cdd84389d2e8ea6e9abba253c1,Composition brune et rouge ,Tachisme,abstract,1964.0
85506.jpg,b36edf57ed623e40e433565053f5f6ca,Discs,Cubism,abstract,1919.0
