filename,artist,title,style,genre,date
71435.jpg,bf1267ceacfea1e3b977e5f3f904e0d6,Gelmeroda XIII ,Cubism,cityscape,1936.0
63416.jpg,bf1267ceacfea1e3b977e5f3f904e0d6,Barfuesserkirche I ,Cubism,cityscape,1924.0
4147.jpg,bf1267ceacfea1e3b977e5f3f904e0d6,Torturm II,Cubism,cityscape,1925.0
19385.jpg,bf1267ceacfea1e3b977e5f3f904e0d6,Gelmeroda IX ,Cubism,cityscape,1926.0
74221.jpg,b60aa1ea22ccf54d9fe50f892e9f28ab,View of the Port of Marseilles,Pointillism,cityscape,
60585.jpg,bc05d13501bcf1fbca160ee8c3dec5cc,The Embarkation of the Queen of Sheba,Classicism,cityscape,1648
7020.jpg,5d6136636d3015e201f6096d67c89860,The Spittler in Nuremberg,Romanticism,cityscape,1856
53841.jpg,b60aa1ea22ccf54d9fe50f892e9f28ab,Rodez,Impressionism,cityscape,c.1923
85979.jpg,387b5bc26967586d61d0e2343c1608f3,The Cake Shop,Post-Impressionism,cityscape,1899
88776.jpg,b60aa1ea22ccf54d9fe50f892e9f28ab,"Antibes, the towers",Pointillism,cityscape,1911
8943.jpg,74a1dad53214d04514269a188f16683a,Samoëns,Impressionism,cityscape,c.1882
35557.jpg,5d6136636d3015e201f6096d67c89860,The St. Stephen's Cathedral in Vienna,Romanticism,cityscape,1847
8250.jpg,b60aa1ea22ccf54d9fe50f892e9f28ab,Le Havre with rain clouds,Impressionism,cityscape,1922
47312.jpg,5d6136636d3015e201f6096d67c89860,The main square in Bratislava,Romanticism,cityscape,1843
56338.jpg,5d6136636d3015e201f6096d67c89860,The iron foundry in Kitschelt Skodagasse in Vienna,Romanticism,cityscape,1903
47838.jpg,5d6136636d3015e201f6096d67c89860,View of Klosterneuburg,Romanticism,cityscape,1890
38694.jpg,5d6136636d3015e201f6096d67c89860,The courtyard of the Doge's Palace in Venice,Romanticism,cityscape,1867
50103.jpg,5d6136636d3015e201f6096d67c89860,The Town Hall in Mödling,Romanticism,cityscape,1842
92736.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Mitsui Shop on Suruga Street in Edo,Ukiyo-e,cityscape,c.1831
28188.jpg,5d6136636d3015e201f6096d67c89860,The Basilica of Santa Maria Maggiore in Rome,Romanticism,cityscape,1837
52038.jpg,387b5bc26967586d61d0e2343c1608f3,The Avenue,Japonism,cityscape,1899
97187.jpg,5d6136636d3015e201f6096d67c89860,View from the Monastery of Sant 'Onofrio in Rome,Romanticism,cityscape,1835
78023.jpg,5d6136636d3015e201f6096d67c89860,The parish church in Ofen,Romanticism,cityscape,c.1845
71859.jpg,60532377d2fb5ccaf72bfac7c9406191,Old House in Germany,Symbolism,cityscape,1957
11889.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
60161.jpg,5fc2ffdd3d24ab503edd9a271dc379bd,"Rome, Castle Sant Angelo",Realism,cityscape,c.1827
94943.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
23452.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
72942.jpg,6e995a98857a349071182cf6c713e35f,View of Zierikzee,Baroque,cityscape,1618
83092.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
44603.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
84023.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
7022.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
80565.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
14108.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
37308.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
55911.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
86166.jpg,bf1267ceacfea1e3b977e5f3f904e0d6,Gelmeroda ,Cubism,cityscape,1936.0
13949.jpg,612edcdb31a0860c982b1833fc1e6d17,The Neuer Marktplatz in Dresden,Rococo,cityscape,1747
41945.jpg,c7410238d399d9f454123e59b059fdd2,Landscape at Beaulieu,Cubism,cityscape,1918
59420.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
65797.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
4155.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
3632.jpg,50591a7061fb340d875723f38e00cc3b,"New York, Late Afternoon, Winter",Impressionism,cityscape,1900
63452.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
74387.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
52850.jpg,1a8d67dbb446bdc4298cc0be56932a38,"Rouen Cathedral, the Portal, Morning Effect",Impressionism,cityscape,1894
1155.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
39893.jpg,5d6136636d3015e201f6096d67c89860,The tomb of Emperor Frederick III in the Stephansdom in Vienna,Romanticism,cityscape,1895
49948.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
48500.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
