filename,artist,title,style,genre,date
28908.jpg,20997d2fc9ef66fccb7225846c1e1ae4,Yachting in the Mediterranean,Realism,genre painting,1896
90044.jpg,79bb91f97cda5c3fb8482c4bb8afd08c,An Experiment on a Bird in the Air Pump,Baroque,genre painting,1768
31337.jpg,53128585a400eea9a4df4ff3ec89db41,Study for A Sunday on La Grande Jatte,Pointillism,genre painting,1884
7071.jpg,67c1053cde05250df99a1d173e57003a,Young Woman with a Pearl Necklace,Baroque,genre painting,c.1662
17354.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Abandonment (The pair),Post-Impressionism,genre painting,1895
31234.jpg,d8ac73f0218c738977444c6217a35211,Sailing boat on the Tegernsee,Expressionism,genre painting,c.1910
96174.jpg,74a1dad53214d04514269a188f16683a,The Reaper,Art Nouveau (Modern),genre painting,1910
57090.jpg,387b5bc26967586d61d0e2343c1608f3,The two sisters,Japonism,genre painting,1899
19834.jpg,79f6b47483600c140c91e901f746a368,Leveil Heart,Realism,genre painting,1892
80938.jpg,74a1dad53214d04514269a188f16683a,Devotion,Realism,genre painting,1882
32829.jpg,7763fea74bc9c6bdb0430dbed140d5c7,Visit to a peony garden,Ukiyo-e,genre painting,
1127.jpg,67c1053cde05250df99a1d173e57003a,The Love Letter,Baroque,genre painting,c.1669
29461.jpg,590d86025e0458fa979934ccc6e75ab6,Emerald Necklace,Symbolism,genre painting,1904
68866.jpg,67c1053cde05250df99a1d173e57003a,The Milkmaid,Baroque,genre painting,c.1660
96372.jpg,8cdd41002b7b5c5d112865054a7fe13e,In the Greenhouse,Expressionism,genre painting,c.1916
3732.jpg,b3bba0de2a501bc4755d110916803ccb,In the Bay of Naples,Romanticism,genre painting,
62387.jpg,97495fb4212d9449d61c6d9fc3e6cc04,Rustic life ,Romanticism,genre painting,1887.0
101495.jpg,8cdd41002b7b5c5d112865054a7fe13e,Girl with Cat (Franzi),Expressionism,genre painting,1910
88558.jpg,74a1dad53214d04514269a188f16683a,The Reaper,Realism,genre painting,c.1878
22515.jpg,74a1dad53214d04514269a188f16683a,The Orator,Art Nouveau (Modern),genre painting,c.1912
95342.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"Buffalo-Dance of the Mandan Indians in front of their Medicine Lodge in Mih-Tutta-Hankush, plate 18 from Volume 2 of 'Travels in the Interior of North America'",Romanticism,genre painting,1843
49829.jpg,7b5a9186df853ff921c211145ca5ab59,The Courtship,Realism,genre painting,1876
97649.jpg,46200eee40e22039aef7a5944bb445c9,Girls in henhouse,Realism,genre painting,1897
44926.jpg,2602b191b78d6ea4b42a28946eb82c38,Frozen Ice Landscape with Carriages and Boats,Baroque,genre painting,c.1645
91301.jpg,74a1dad53214d04514269a188f16683a,The German students in the War of Liberation of 1813,Art Nouveau (Modern),genre painting,1908
46316.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"Encampment of the Piekann Indians, plate 43 from Volume 2 of 'Travels in the Interior of North America'",Romanticism,genre painting,1844
35624.jpg,d8ac73f0218c738977444c6217a35211,Woman with pitcher under trees,Fauvism,genre painting,1912
