filename,artist,title,style,genre,date
59792.jpg,9f0984ce62483f294fc666d74e0974f6,Descent from the cross,Northern Renaissance,religious painting,
82352.jpg,e655bc106f0f640870bc811cd29e6d8d,The Garden of Earthly Delights ,Northern Renaissance,religious painting,1515
16876.jpg,44eee069716bb323fdde08eecdcd9c74,The Madonna in the Church,Northern Renaissance,religious painting,1439
7486.jpg,83e9823eb4868ca162fd3b7adff70096,Death of Eleazer,Romanticism,religious painting,1866
35766.jpg,83e9823eb4868ca162fd3b7adff70096,The-Deluge,Romanticism,religious painting,
57581.jpg,85e60fb5d2a65debda52dc3e32f76789,The Last Judgement,High Renaissance,religious painting,1541
47203.jpg,78b13bdd9a3201382c52e7efe67b7099,The Adoration of the Magi,Early Renaissance,religious painting,1476
55537.jpg,48fc8e17fb4d3cb68c2d0112491f60f1,Madonna of the Meadow (Madonna del Prato),High Renaissance,religious painting,1505
13689.jpg,b2a43738fde0a20062a0900417351a9f,Christ driving the Traders from the Temple,Mannerism (Late Renaissance),religious painting,1600
32343.jpg,c5d221866879b9c2c6781275eebf7b68,Madonna col Bambino,,religious painting,1924
16091.jpg,9f0984ce62483f294fc666d74e0974f6,The Adoration of the Kings ,Northern Renaissance,religious painting,
78338.jpg,46200eee40e22039aef7a5944bb445c9,Judith and Holofernes,Art Nouveau (Modern),religious painting,1916
17903.jpg,c8c719bbaa146ed79fe08d536dc2dd7e,Christ Nailed to the Cross The Third Hour,Symbolism,religious painting,c.1803
102671.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,Madonna with St. Mary Magdalene and St. John the Baptist ,High Renaissance,religious painting,1506
5145.jpg,c3e9d9ebe5f2900190bef9342c440bd9,Agony In The Garden,Northern Renaissance,religious painting,1508
7700.jpg,96b1e2ecd1eb346bcf571bc910ff14a0,Engraving on copper of a Foolish Virgin,Northern Renaissance,religious painting,c.1480
30376.jpg,96b1e2ecd1eb346bcf571bc910ff14a0,Altarpiece of the Dominicans: The Mystical Hunt,Northern Renaissance,religious painting,
1089.jpg,96b1e2ecd1eb346bcf571bc910ff14a0,Engraving on copper of the Annunciation,Northern Renaissance,religious painting,c.1480
97348.jpg,a087f33967e659c63924aa07c89b948f,Madonna,Northern Renaissance,religious painting,1514
76728.jpg,34af3fde07e283bb8c99f8de85e5f94d,Baby Jesus asleep on the Cross,Baroque,religious painting,1625
87503.jpg,3354b8820b6c7eaa725cececfeb85a6e,Madonna and Child with two Angels,Early Renaissance,religious painting,1465
8362.jpg,b5d68c68efa0917dc276558a88dfee56,Christ in the Wilderness,Realism,religious painting,1872
34102.jpg,46200eee40e22039aef7a5944bb445c9,Pieta,Symbolism,religious painting,c.1895
95210.jpg,78b13bdd9a3201382c52e7efe67b7099,Portrait of a Young Man,Early Renaissance,religious painting,1483
83076.jpg,1b75de7e18ba6fa547a7aed27b4fb355,The Virgin and Child with Saint Anne and Saint John the Baptist,High Renaissance,religious painting,c.1499
92545.jpg,9f0984ce62483f294fc666d74e0974f6,"The Carondelet Diptych: Jean Carondelet (left panel), Virgin and Child (right panel)",Northern Renaissance,religious painting,1517
64794.jpg,c3e9d9ebe5f2900190bef9342c440bd9,The Adoration of the Magi,Northern Renaissance,religious painting,1504
52598.jpg,57a4723720fe446196e259123f11f8b1,The Entombment (detail from the Isenheim Altarpiece),Northern Renaissance,religious painting,c.1516
96668.jpg,9ee8bdc8cacd9654c2f565c618af10ab,Susanna and the Elders,Symbolism,religious painting,1913
9041.jpg,3524ecd495d905ffbe4f424717d747a1,Victory of Joshua over the Amalekites,Classicism,religious painting,c.1625
74123.jpg,7e7b4392f5776bb7c65a603155727f59,Altar of St. John the Baptist,Northern Renaissance,religious painting,1520
27425.jpg,0641cf433776d46e89adfe142bd22379,Madonna and Child (Salting Madonna),Early Renaissance,religious painting,c.1460
30595.jpg,4c392a8f970f3d2094cf13873fd0c92e,Rape of Tamar,Baroque,religious painting,c.1640
102940.jpg,76cd369cddf78f33b853fa53077ac113,What is Truth. Christ and Pilate,Realism,religious painting,1890
34694.jpg,a4a0c7f453db17be153de96ebcfc711f,Crucifixion,Proto Renaissance,religious painting,c.1330
23565.jpg,79f6b47483600c140c91e901f746a368,Our Lady of the Angels,Neoclassicism,religious painting,
81271.jpg,0641cf433776d46e89adfe142bd22379,Crucifixion,Early Renaissance,religious painting,1475
43940.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Polyptych Albani Torlonia (particular detail),High Renaissance,religious painting,1491
4447.jpg,96ea00928e83b362a190d624a3c357ca,Education of the Virgin,Tenebrism,religious painting,c.1640
45137.jpg,f0cac480e51f0a584f2a484504faa60d,"Sacrifice of Isaac, and Transfiguration",Northern Renaissance,religious painting,1510
2313.jpg,4553253cdd13315db81041f94db78529,Parable of the Prodigal Son (detail),Northern Renaissance,religious painting,
43988.jpg,4553253cdd13315db81041f94db78529,Parable of the Prodigal Son (detail),Northern Renaissance,religious painting,
28197.jpg,e655bc106f0f640870bc811cd29e6d8d,The Temptation of St. Anthony (detail),Northern Renaissance,religious painting,1516
