filename,artist,title,style,genre,date
70944.jpg,afdfc43410410892bc9d1c4d3c3d6220,Forbidden Land ,Surrealism,landscape,1937
48138.jpg,3a40b18a78ceb822961393c50bdb522b,Snowy landscape with a woman brandishing a broom and a man holding an umbrella,Ukiyo-e,landscape,
1164.jpg,69f42fe50ebe0a46b3428b6ca22c1453,The Mall in St. James's Park,Rococo,landscape,1783
20509.jpg,74a1dad53214d04514269a188f16683a,The Grammont,Symbolism,landscape,1906
71952.jpg,5d6136636d3015e201f6096d67c89860,The cemetery in Gastein,Romanticism,landscape,1898
51728.jpg,8cdd41002b7b5c5d112865054a7fe13e,Red Tree on the Beach,Expressionism,landscape,1913
16019.jpg,74a1dad53214d04514269a188f16683a,"Lake Geneva, overlooking the Savoyerberge",Symbolism,landscape,c.1906
11057.jpg,46200eee40e22039aef7a5944bb445c9,Pine forest in winter,Art Nouveau (Modern),landscape,c.1907
89941.jpg,74a1dad53214d04514269a188f16683a,The Lake Geneva from Lausanne,Art Nouveau (Modern),landscape,1912
60678.jpg,e5ff34fd17269062c990b15bc47c280a,Autumn the mountain,Ink and wash painting,landscape,1699
10805.jpg,74a1dad53214d04514269a188f16683a,Thun with symmetric mirroring,Symbolism,landscape,1909
87438.jpg,74a1dad53214d04514269a188f16683a,"Thun, Stockhornkette, evening",Art Nouveau (Modern),landscape,c.1912
98644.jpg,74a1dad53214d04514269a188f16683a,Snow in the Engadine,Symbolism,landscape,1907
72442.jpg,74a1dad53214d04514269a188f16683a,Dents du Midi,Symbolism,landscape,1916
53039.jpg,d8ac73f0218c738977444c6217a35211,Garden on Lake Thun,Orphism,landscape,
11837.jpg,b60aa1ea22ccf54d9fe50f892e9f28ab,"Antibes, thunderstorms",Pointillism,landscape,1919
89307.jpg,74a1dad53214d04514269a188f16683a,Lake Geneva with Mont Blanc before sunrise,Symbolism,landscape,1918
100182.jpg,74a1dad53214d04514269a188f16683a,The Monk,Symbolism,landscape,1914
80673.jpg,e5ff34fd17269062c990b15bc47c280a,last hike,Ink and wash painting,landscape,1707
49757.jpg,1a8d67dbb446bdc4298cc0be56932a38,"The Manneport, Rock Arch West of Etretat",Impressionism,landscape,1883
18100.jpg,74a1dad53214d04514269a188f16683a,The Monk with clouds,Symbolism,landscape,1911
45523.jpg,74a1dad53214d04514269a188f16683a,A morning in Interlaken,Romanticism,landscape,1875
45969.jpg,74a1dad53214d04514269a188f16683a,"Thun, Stockhornkette, in clouds",Art Nouveau (Modern),landscape,c.1912
