filename,artist,title,style,genre,date
99460.jpg,c5d221866879b9c2c6781275eebf7b68,Volto Misterioso,,portrait,1976
5194.jpg,accb302082074fa3b73308a2e42f1fd4,Portrait of Giovanni della Volta with his Wife and Children,High Renaissance,portrait,1547
840.jpg,e8eae9a2f53456f01d601ae153f76a2d,Boy with a Greyhound,Mannerism (Late Renaissance),portrait,
95721.jpg,9ee8bdc8cacd9654c2f565c618af10ab,Mary with  Biedermeier hut,Symbolism,portrait,c.1910
820.jpg,accb302082074fa3b73308a2e42f1fd4,A Lady with a Drawing of Lucretia,High Renaissance,portrait,c.1531
40672.jpg,397c63db1c7b507d23abff3f8bb0fa18,Lady with a Lap Dog,Baroque,portrait,
45276.jpg,7b5a9186df853ff921c211145ca5ab59,General George Cadwalader  ,Realism,portrait,1880
88434.jpg,74a1dad53214d04514269a188f16683a,Portrait of James Vibert,Art Nouveau (Modern),portrait,1915
100829.jpg,74a1dad53214d04514269a188f16683a,The pastor,Realism,portrait,1879
92409.jpg,46200eee40e22039aef7a5944bb445c9,Girl in Landscape,Art Nouveau (Modern),portrait,1898
79131.jpg,74a1dad53214d04514269a188f16683a,Portrait of Georges Navazza,Art Nouveau (Modern),portrait,1916
53800.jpg,74a1dad53214d04514269a188f16683a,Portrait of Willy Russ,Art Nouveau (Modern),portrait,1911
88945.jpg,74a1dad53214d04514269a188f16683a,Valentine Gode Darel in hospital bed,Art Nouveau (Modern),portrait,1914
60983.jpg,79f6b47483600c140c91e901f746a368,The Song of the Nightingale,Neoclassicism,portrait,
22404.jpg,0aa40001869bf1e86a1bdae741f79220,Portrait of a young lady,Romanticism,portrait,1906
9549.jpg,74a1dad53214d04514269a188f16683a,Girl at the Window,Art Nouveau (Modern),portrait,1890
41164.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"A Minatarre or Big bellied indian, plate 17 from Volume 2 of 'Travels in the Interior of North America'",Romanticism,portrait,1843
87495.jpg,166f2b41057d24d97514a2cbbfdab0e3,Portrait of a Dutch master,Baroque,portrait,
32754.jpg,74a1dad53214d04514269a188f16683a,Portrait of Berthe Jacques,Art Nouveau (Modern),portrait,1894
17680.jpg,7b5a9186df853ff921c211145ca5ab59,Portraits ,Realism,portrait,
40197.jpg,46200eee40e22039aef7a5944bb445c9,Dancer Miss Olga George,Art Nouveau (Modern),portrait,1911
99889.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"Wahk-Ta-Ge-Li, a Sioux Warrior, plate 8 from Volume 2 of 'Travels in the Interior of North America'",Romanticism,portrait,1844
34382.jpg,342d7068656b00878b23e1031a3ddf50,Portrait of Henrietta Girshman,Art Nouveau (Modern),portrait,1907.0
86917.jpg,7b5a9186df853ff921c211145ca5ab59,Portraits ,Realism,portrait,
5303.jpg,82665201c4108381d854740ddcb86e67,Lady in Blue. Portrait of the Artist Yelizaveta Martynova,Realism,portrait,1900
50480.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"A Missouri Indian, an Oto Indian and the Chief of the Puncas, plate 7 from 'Travels in the Interior of North America'",Romanticism,portrait,1844
45541.jpg,74a1dad53214d04514269a188f16683a,"Portrait study to ""Look into the infinity""",Art Nouveau (Modern),portrait,1916
41316.jpg,2de183deab2a0772fd2b478f56d7c3e1,Heraklith,Baroque,portrait,1632
47592.jpg,b6095eab35b7f0abfbe5687ed8329293,Portrait of Philip IV of Spain,Baroque,portrait,1656
18436.jpg,a2f9c82cad0bc8213ce6af4c6d8485fe,Portrait of Cosimo I de' Medici,Mannerism (Late Renaissance),portrait,
31655.jpg,7b5a9186df853ff921c211145ca5ab59,Portraits ,Realism,portrait,
65887.jpg,74a1dad53214d04514269a188f16683a,"Valentine Gode Darel, with disheveled hair",Art Nouveau (Modern),portrait,1913
73147.jpg,5f5b31e07a9f529fab95992e6ef63c47,The Golden Age,Rococo,portrait,1776
44054.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"Noapeh, an Assiniboin Indian and Psihdja-Sahpa, a Yanktonan Indian, plate 12 from Volume 2 of 'Travels in the Interior of North America'",Romanticism,portrait,1844
73565.jpg,c5d221866879b9c2c6781275eebf7b68,Stupore Materno,,portrait,1969
82310.jpg,e60882af79cababb03ddfa980a75448c,The Duke of Wellington,Romanticism,portrait,1814
61125.jpg,d41c502f1b4faa29dcc0214c4e3dc33d,"Portrait of a lady with roses in her hair, (Countess Pushkina)",Neo-Rococo,portrait,
95359.jpg,f2e0bf35d07f3e838e2ff40956032ed3,Mandan indians,Romanticism,portrait,1843
5241.jpg,342d7068656b00878b23e1031a3ddf50,Girl with Peaches ,Impressionism,portrait,1887.0
25503.jpg,b223caa3b80154b3741fff3af42566c9,Louis Antoine de Saint Just,Romanticism,portrait,1793
89279.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"Chief of the Blood Indians, War Chief of the Piekann Indians and a Koutani Indian, plate 46 from Volume 2 of 'Travels in the Interior of North America'",Romanticism,portrait,1844
80078.jpg,4a30943bf6dd5da55d12ccd14aaff0d8,"The Five Painters: Bonnard, Vuillard, Roussel, Cottet and Vallotton",Magic Realism,portrait,1902
63576.jpg,a2f9c82cad0bc8213ce6af4c6d8485fe,Piero de Medici il Gottoso,Mannerism (Late Renaissance),portrait,c.1560
40855.jpg,7b5a9186df853ff921c211145ca5ab59,Portraits ,Realism,portrait,
82676.jpg,c5d221866879b9c2c6781275eebf7b68,Sguardo Basso,,portrait,1966
393.jpg,608e86021cb827b9056f11e0a01073c7,The Blower,Realism,portrait,
19525.jpg,e45d15fb0b64d7230ef48365fc992ced,Portrait of E. I. Molchanova,Rococo,portrait,1776
13418.jpg,e45d15fb0b64d7230ef48365fc992ced,Count Artemiy Vorontsov,Rococo,portrait,
77110.jpg,74a1dad53214d04514269a188f16683a,Border woman figure in blue Gwand,Art Nouveau (Modern),portrait,1915
254.jpg,bf1d0c9118c5c4d6973bfeb5d7657d83,The widow,Realism,portrait,
102442.jpg,9ee8bdc8cacd9654c2f565c618af10ab,S. K. H. Prince Regent Luitpold of Bavaria,Symbolism,portrait,c.1897
81776.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"Woman of the Snake tribe and woman of the Cree tribe, plate 33  from Volume 1 of 'Travels in the Interior of North America'",Romanticism,portrait,1832
99956.jpg,74a1dad53214d04514269a188f16683a,Seated bearded man,Impressionism,portrait,1884
7060.jpg,74a1dad53214d04514269a188f16683a,Standing female figure in a blue dress,Art Nouveau (Modern),portrait,c.1915
83008.jpg,0262857af5392345a4d9f852b55369e2,Man with a Pink Carnation,High Renaissance,portrait,c.1495
76118.jpg,9aedafc30e2a675b8d761b0b313e2376,Marquise de Pompadour,Rococo,portrait,c.1750
23382.jpg,9090afd20e389e70297c717bb5c8d906,A portrait of a young girl ,Romanticism,portrait,1889.0
79242.jpg,e45d15fb0b64d7230ef48365fc992ced,Countess Praskovia Vorontsova,Rococo,portrait,
35239.jpg,e45d15fb0b64d7230ef48365fc992ced,Portrait of Maria Dyakova ,Rococo,portrait,1778
60044.jpg,44eee069716bb323fdde08eecdcd9c74,The Arnolfini Wedding. The Portrait of Giovanni Arnolfini and his Wife Giovanna Cenami (The Arnolfini Marriage) ,Northern Renaissance,portrait,1434
102837.jpg,d7f21b854745372690a1896b8342d19f,Sappho,Symbolism,portrait,1893
45851.jpg,b5113e04495b3b4878bed279fe93a5f0,Self-portrait,Baroque,portrait,c.1640
4771.jpg,358474690052f63f9107c823b7a61686,Portrait of Alexander Chelishchev,Romanticism,portrait,c.1809
62497.jpg,0641cf433776d46e89adfe142bd22379,Portrait of a Man,Early Renaissance,portrait,1473
13995.jpg,c5d221866879b9c2c6781275eebf7b68,La Lezione di Anatomia,,portrait,1954
27639.jpg,1c5808517b3b9560b277eaae7adfabfc,Portrait of K.G.Ravich,Romanticism,portrait,1823
70892.jpg,7b5a9186df853ff921c211145ca5ab59,The Honorable John A. Thorton ,Realism,portrait,1903
5694.jpg,387b5bc26967586d61d0e2343c1608f3,Half-figure of a seated woman,Post-Impressionism,portrait,c.1911
72083.jpg,74a1dad53214d04514269a188f16683a,Portrait of Louise Delphine Duchosal,Realism,portrait,1885
79630.jpg,c5d221866879b9c2c6781275eebf7b68,Ritratto della Signora Jenny Borghi,,portrait,1959
78091.jpg,28fc41d6f8efc4e8b85a7e03e5d319fd,Portrait of Hubert Robert ,Rococo,portrait,1788
82053.jpg,aa19b797266317f1eee59b9e11cc6b3b,Portrait of Naniwaya Okita,Ukiyo-e,portrait,c.1796
49444.jpg,baa3e6fec49e7eba24e23a8685c22955,A studio idyll. The artist's wife with daughter Suzanne,Art Nouveau (Modern),portrait,
29007.jpg,5f5b31e07a9f529fab95992e6ef63c47,Self Portrait,Rococo,portrait,1819
70005.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"Mato-Tope, Adorned with the Insignia of his Warlike Deeds, plate 14 from Volume 2 of 'Travels in the Interior of North America'",Romanticism,portrait,1843
54668.jpg,f02369856dac75a59c92393f5a1f1912,A Lady from Naples,Impressionism,portrait,
60691.jpg,8cdd41002b7b5c5d112865054a7fe13e,Erna Japanschirm,Expressionism,portrait,1913
71698.jpg,28fc41d6f8efc4e8b85a7e03e5d319fd,Portrait of Joseph Vernet ,Rococo,portrait,1778
64210.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,The Greens (Seated Woman in a Garden),Post-Impressionism,portrait,1891
9158.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"Abdih- Hiddisch. A Minatarre Chief, plate 24 from Volume 1 of 'Travels in the Interior of North America'",Romanticism,portrait,1834
55979.jpg,e45d15fb0b64d7230ef48365fc992ced,Portrait of Procope Demidov,Rococo,portrait,1773
8883.jpg,fb5d5b0c1a314cebea759dff3e52d909,Emma Homan ,Naïve Art (Primitivism),portrait,1844.0
3016.jpg,dd4989789d310581024ae2b9203d5439,Ambroise Vollard Portrait,Impressionism,portrait,
64311.jpg,7b5a9186df853ff921c211145ca5ab59,Portrait of Adam S. Bare  ,Realism,portrait,1903
33511.jpg,d2deddf1799393c1247b4ef5967fc11d,King George III,Rococo,portrait,
22248.jpg,040827f8fb458d1cea7d3e0b9e33132f,Portrait of Count Alexander Kurakin,Rococo,portrait,1802
62672.jpg,a4492e7c5e98a8cce572867eda5c480f,Portrait of a Woman,Baroque,portrait,
9125.jpg,7b5a9186df853ff921c211145ca5ab59,A Negress ,Realism,portrait,
72432.jpg,776378f8b5806159933438cf094c5435,Portrait of a knight of Saint Michael,Baroque,portrait,
93537.jpg,d84e46c659389cf69bdbadfae40042d1,Portrait of Two Girls,Expressionism,portrait,
39349.jpg,46200eee40e22039aef7a5944bb445c9,Young woman with hat,Art Nouveau (Modern),portrait,c.1913
43927.jpg,703bd7953caa0cf7b8c86c2fdf92a0fc,Grace Allison McCurdy and Her Daughters ,Naïve Art (Primitivism),portrait,1804.0
44149.jpg,9ee8bdc8cacd9654c2f565c618af10ab,Grand Duke Ernst Ludwig,Symbolism,portrait,1907
91707.jpg,b6095eab35b7f0abfbe5687ed8329293,Philip IV of Spain in Brown and Silver,Baroque,portrait,1632
27826.jpg,9a85697fd693e11f87846ebc70c00227,Portrait of Hermine Gallia,Symbolism,portrait,1904
72920.jpg,072592d6fa48c2ef2d5d248c0478e890,Portrait of an Unknown Man with a Letter,Northern Renaissance,portrait,1485
92461.jpg,46200eee40e22039aef7a5944bb445c9,Portrait of a Woman in Profile,Art Nouveau (Modern),portrait,c.1912
41490.jpg,69f42fe50ebe0a46b3428b6ca22c1453,"John Montagu,  4th Earl of Sandwich",Rococo,portrait,
79303.jpg,6d1602ad0e3630b17bc31d2aa383c2ce,Constant Lambert ,Post-Impressionism,portrait,1926.0
102518.jpg,9a85697fd693e11f87846ebc70c00227,Portrait of Marie Breunig,Realism,portrait,1894
74814.jpg,608e86021cb827b9056f11e0a01073c7,Dorobanțul,Realism,portrait,
2165.jpg,3cc9a44380296d93e68b71a27643c25f,The Sailor,Post-Impressionism,portrait,c.1906
30259.jpg,3cc9a44380296d93e68b71a27643c25f,Paul Alexis Reading at Zola's House,Romanticism,portrait,1870
1401.jpg,452561351a1599b602e7aded3afeff6a,"Portrait of a woman, known as The Gipsy girl",Baroque,portrait,1629
46104.jpg,c4dd83cc13ff6d1e3f51c04aa4eaa877,Portrait of a young woman with red hat,Expressionism,portrait,1900
1623.jpg,a087f33967e659c63924aa07c89b948f,"Portrait Of Johann Friederich I the Magnanimous, Elector of Saxony",Northern Renaissance,portrait,1509
95517.jpg,a087f33967e659c63924aa07c89b948f,Portrait of Duke Johann der Bestandige of Saxony,Northern Renaissance,portrait,1509
377.jpg,450fc8bc8b9924db9bd48172f6498d3b,"Simon Fraser, 11th Baron Lovat",Baroque,portrait,
89801.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Woman brothel,Post-Impressionism,portrait,1894
7432.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"Mexkemahuastan, Chief of the Gros-Ventres of the Prairies, plate 20 from Volume 1 of 'Travels in the Interior of North America'",Romanticism,portrait,1843
46546.jpg,df97efdcbefba87d3aad1aaa3f413ceb,The Beaneater,Baroque,portrait,1590
87071.jpg,358474690052f63f9107c823b7a61686,E. Komarovsky,Romanticism,portrait,1823
85520.jpg,c16781c4321948227193214b68477a5c,"Frederick Sleigh Roberts, 1st Earl Roberts",Realism,portrait,1906
4742.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"Pachtuwa-Chta, an Arrikkara Warrior, plate 27 from Volume 1 of 'Travels in the Interior of North America'",Romanticism,portrait,1843
48079.jpg,8ce72182690e99ec3ac142577dc4e7c4,Countess Anna Protassowa with niece,Neoclassicism,portrait,1788
64399.jpg,452561351a1599b602e7aded3afeff6a,Marriage Portrait of Isaac Massa and Beatrix van der Laen,Baroque,portrait,
7710.jpg,c4dd83cc13ff6d1e3f51c04aa4eaa877,Self portrait,Expressionism,portrait,c.1898
211.jpg,d8ac73f0218c738977444c6217a35211,Elisabeth at the Table,Fauvism,portrait,1909
29558.jpg,54e7b38b5c91716bd3ad99a0ab740a18,The Japanese Vase,Japonism,portrait,c.1870
51929.jpg,69f42fe50ebe0a46b3428b6ca22c1453,"Charles Howard, 11th Duke of Norfolk",Rococo,portrait,
83168.jpg,c4dd83cc13ff6d1e3f51c04aa4eaa877,Old Woman with handkerchief,Expressionism,portrait,c.1903
69487.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Tokiwa-Gozen with her three children in the snow,Ukiyo-e,portrait,c.1840
51197.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Messaline (between two extras),Post-Impressionism,portrait,1901
4153.jpg,9a85697fd693e11f87846ebc70c00227,The dancer,Art Nouveau (Modern),portrait,1918
62963.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Amakasu Omi no Kami,Ukiyo-e,portrait,
78340.jpg,aefb0cff142e18c62467d35f2bc0eb4f,Sir Charles Hallé (née Carl Halle),Academicism,portrait,
45614.jpg,dd1e99aa9c15008b8656242701a30801,"Madame Pierre Seriziat (nee Emilie Pecoul) with her Son, Emile ",Neoclassicism,portrait,1795
59097.jpg,d880f75735034af92204bc70a5802e7d,Faticida,Academicism,portrait,
59451.jpg,54e7b38b5c91716bd3ad99a0ab740a18,Colonel Frederick Gustavus Barnaby,Realism,portrait,1870
90896.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Roshi Ensei lifting a heavy beam,Ukiyo-e,portrait,
14673.jpg,8b1800319323ab9b0ce2e0b11b3f4772,Frederic Chopin ,Romanticism,portrait,1838
84942.jpg,d880f75735034af92204bc70a5802e7d,Biondina,Academicism,portrait,1879
52238.jpg,a6027a4ba71b61a55ea598379c9d508c,Portrait after a Costume Ball (Portrait of Madame Dietz Monnin),Impressionism,portrait,1879
40252.jpg,9a85697fd693e11f87846ebc70c00227,Portrait of Gertha Felssovanyi,Symbolism,portrait,1902
79816.jpg,d41c502f1b4faa29dcc0214c4e3dc33d,Portrait of Emperor Napoleon III ,Neo-Rococo,portrait,1855
31728.jpg,c4dd83cc13ff6d1e3f51c04aa4eaa877,Peasant child with pink apron,Expressionism,portrait,c.1904
9911.jpg,94a18720289642f88ceb572b1ddceb76,Portrait of a Woman,Northern Renaissance,portrait,1530
69097.jpg,d880f75735034af92204bc70a5802e7d,Mrs. Ellinor Guthrie,Academicism,portrait,
80463.jpg,3cc9a44380296d93e68b71a27643c25f,Portrait of Madame Cezanne ,Impressionism,portrait,1878
70113.jpg,79f6b47483600c140c91e901f746a368,Mignon,Neoclassicism,portrait,1869
68838.jpg,c4dd83cc13ff6d1e3f51c04aa4eaa877,Portrait of Rainer Maria Rilke,Expressionism,portrait,1906
26042.jpg,3cc9a44380296d93e68b71a27643c25f,Portrait of Victor Chocquet ,Impressionism,portrait,1877
25842.jpg,ede635e53e1b4a905bbea74de30371cf,Portrait of Pietro Aretino,Mannerism (Late Renaissance),portrait,c.1545
41950.jpg,a2f9c82cad0bc8213ce6af4c6d8485fe,Portrait of a girl with book,Mannerism (Late Renaissance),portrait,1545
87724.jpg,f44205b1eb2de981de766e0688f8cbac,Fixing her Hair (Ruby Elzy in “Porgy and Bess”1935),Expressionism,portrait,1935
20440.jpg,54e7b38b5c91716bd3ad99a0ab740a18,Portrait of an Actress in Eighteenth Century Dress,Impressionism,portrait,c.1883
19538.jpg,a2f9c82cad0bc8213ce6af4c6d8485fe,Portrait of a gentleman,Mannerism (Late Renaissance),portrait,c.1552
5199.jpg,0d138ffcc570102982abc5b16d398107,Portrait of Dante Gabriel Rossetti ,Romanticism,portrait,1853
75994.jpg,3cc9a44380296d93e68b71a27643c25f,Young Girl with a Doll,Post-Impressionism,portrait,c.1902
27768.jpg,b3f06d944fdf7d1bb8d855eaa6b85496,Portrait of Edward VI as a child,Northern Renaissance,portrait,c.1538
88409.jpg,907642811d82d1a8bd61417b5683e48d,The Sagredo Family,Rococo,portrait,
35275.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Yvette Guilbert,Art Nouveau (Modern),portrait,1894
88572.jpg,a2f9c82cad0bc8213ce6af4c6d8485fe,Portrait of Laura Battiferri,Mannerism (Late Renaissance),portrait,c.1552
74537.jpg,8aebe44d4fbb5ca859ddfe6260403e4a,Champagne Printer Publisher,Art Nouveau (Modern),portrait,1897
85013.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Fusehime saving Inue Shimbyoe Masahi from a thunderboit,Ukiyo-e,portrait,
78955.jpg,3cc9a44380296d93e68b71a27643c25f,Boy in a Red Vest ,Post-Impressionism,portrait,1888
85174.jpg,3cc9a44380296d93e68b71a27643c25f,Boy in a Red Vest,Post-Impressionism,portrait,1890
96135.jpg,3cc9a44380296d93e68b71a27643c25f,Madame Cezanne with a Yellow Armchair,Post-Impressionism,portrait,c.1890
26697.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,The Lady of the Star Harbour,Post-Impressionism,portrait,1899
89363.jpg,ede635e53e1b4a905bbea74de30371cf,Portrait of Fabrizio Salvaresio,Mannerism (Late Renaissance),portrait,1558
91134.jpg,79f6b47483600c140c91e901f746a368,At the Edge of the Brook,Neoclassicism,portrait,1879
40595.jpg,b3f06d944fdf7d1bb8d855eaa6b85496,Christina of Denmark ,Northern Renaissance,portrait,c.1538
100883.jpg,a2f9c82cad0bc8213ce6af4c6d8485fe,Portrait of Guidubaldo della Rovere,Mannerism (Late Renaissance),portrait,1532
